InvoiceNo,StockCode,Description,Category,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue
INV500271,P1030,Sports Socks Pack,Apparel,4,2025-03-07 21:20:00,267.85,C10377,India,1071.4
INV500272,P1027,Desk Plant,Home,1,2025-09-07 19:25:00,288.89,C10184,United Kingdom,288.89
INV500272,P1022,Dark Chocolate Box,Grocery,1,2025-09-07 19:25:00,593.82,C10184,United Kingdom,593.82
INV500273,P1030,Sports Socks Pack,Apparel,2,2025-10-25 21:51:00,262.8,C10332,United Kingdom,525.6
INV500274,P1024,Laptop Sleeve,Accessories,1,2025-04-11 19:41:00,991.4,C10767,United Kingdom,991.4
INV500275,P1002,Denim Jacket,Apparel,2,2025-02-19 13:30:00,1788.58,C10058,Germany,3577.16
INV500276,P1006,Wireless Mouse,Electronics,3,2025-09-08 12:44:00,773.32,C10407,United Kingdom,2319.96
INV500276,P1021,Premium Tea Pack,Grocery,3,2025-09-08 12:44:00,379.94,C10407,United Kingdom,1139.82
INV500276,P1024,Laptop Sleeve,Accessories,1,2025-09-08 12:44:00,922.62,C10407,United Kingdom,922.62
INV500277,P1005,Bluetooth Speaker,Electronics,3,2025-11-27 19:27:00,2485.74,C10496,India,7457.219999999999
INV500277,P1004,Leather Wallet,Accessories,4,2025-11-27 19:27:00,807.65,C10496,India,3230.6
INV500278,P1028,Gift Wrapping Paper,Stationery,1,2025-04-17 18:57:00,151.94,C10772,United Kingdom,151.94
INV500280,P1019,Phone Stand,Electronics,2,2025-05-31 18:34:00,351.32,C10532,India,702.64
INV500280,P1016,Face Serum,Beauty,1,2025-05-31 18:34:00,798.05,C10532,India,798.05
INV500281,P1003,Running Shoes,Footwear,3,2025-05-23 10:46:00,2196.11,C10368,India,6588.33
INV500281,P1018,Hair Care Kit,Beauty,1,2025-05-23 10:46:00,1045.6,C10368,India,1045.6
INV500281,P1009,Yoga Mat,Fitness,3,2025-05-23 10:46:00,1003.11,C10368,India,3009.33
INV500282,P1004,Leather Wallet,Accessories,2,2025-05-07 09:17:00,749.92,C10619,India,1499.84
INV500283,P1008,Scented Candle Set,Home,4,2025-01-06 09:24:00,511.78,C10281,Germany,2047.12
INV500283,P1013,LED Table Lamp,Home,1,2025-01-06 09:24:00,1213.89,C10281,Germany,1213.89
INV500283,P1004,Leather Wallet,Accessories,2,2025-01-06 09:24:00,908.88,C10281,Germany,1817.76
INV500283,P1026,Smart Watch Strap,Electronics,3,2025-01-06 09:24:00,347.67,C10281,Germany,1043.01
INV500283,P1028,Gift Wrapping Paper,Stationery,4,2025-01-06 09:24:00,158.56,C10281,Germany,634.24
INV500283,P1006,Wireless Mouse,Electronics,1,2025-01-06 09:24:00,812.9,C10281,Germany,812.9
INV500283,P1017,Sunscreen SPF 50,Beauty,1,2025-01-06 09:24:00,464.09,C10281,Germany,464.09
INV500283,P1010,Protein Shaker,Fitness,1,2025-01-06 09:24:00,358.46,C10281,Germany,358.46
INV500284,P1016,Face Serum,Beauty,20,2025-09-18 22:46:00,1024.6,C10435,United Kingdom,20492.0
INV500285,P1008,Scented Candle Set,Home,5,2025-08-06 19:34:00,605.06,C10732,India,3025.2999999999997
INV500285,P1024,Laptop Sleeve,Accessories,2,2025-08-06 19:34:00,810.02,C10732,India,1620.04
INV500285,P1022,Dark Chocolate Box,Grocery,2,2025-08-06 19:34:00,523.96,C10732,India,1047.92
INV500285,P1030,Sports Socks Pack,Apparel,1,2025-08-06 19:34:00,277.38,C10732,India,277.38
INV500286,P1015,Luggage Tag Set,Travel,2,2025-11-26 16:52:00,213.26,C10313,United Kingdom,426.52
INV500286,P1029,Cotton Bedsheet,Home,2,2025-11-26 16:52:00,1137.96,C10313,United Kingdom,2275.92
INV500286,P1020,USB-C Cable,Electronics,1,2025-11-26 16:52:00,221.32,C10313,United Kingdom,221.32
INV500286,P1028,Gift Wrapping Paper,Stationery,2,2025-11-26 16:52:00,141.45,C10313,United Kingdom,282.9
INV500287,P1007,Ceramic Coffee Mug,Home,10,2025-06-19 22:02:00,350.98,C10762,India,3509.8
INV500288,P1030,Sports Socks Pack,Apparel,3,2025-07-24 16:46:00,246.04,C10770,Canada,738.12
INV500288,P1013,LED Table Lamp,Home,3,2025-07-24 16:46:00,1152.56,C10770,Canada,3457.68
INV500288,P1005,Bluetooth Speaker,Electronics,2,2025-07-24 16:46:00,2178.33,C10770,Canada,4356.66
INV500288,P1004,Leather Wallet,Accessories,5,2025-07-24 16:46:00,836.08,C10770,Canada,4180.400000000001
INV500288,P1026,Smart Watch Strap,Electronics,1,2025-07-24 16:46:00,329.72,C10770,Canada,329.72
INV500289,P1017,Sunscreen SPF 50,Beauty,1,2025-04-24 13:27:00,474.49,C10237,Netherlands,474.49
INV500289,P1014,Travel Backpack,Travel,1,2025-04-24 13:27:00,1691.35,C10237,Netherlands,1691.35
INV500289,P1021,Premium Tea Pack,Grocery,1,2025-04-24 13:27:00,397.75,C10237,Netherlands,397.75
INV500290,P1024,Laptop Sleeve,Accessories,1,2025-06-19 13:47:00,826.49,C10134,Portugal,826.49
INV500290,P1025,Kitchen Storage Jars,Home,1,2025-06-19 13:47:00,933.71,C10134,Portugal,933.71
INV500290,P1019,Phone Stand,Electronics,8,2025-06-19 13:47:00,311.81,C10134,Portugal,2494.48
INV500290,P1017,Sunscreen SPF 50,Beauty,1,2025-06-19 13:47:00,484.31,C10134,Portugal,484.31
INV500291,P1014,Travel Backpack,Travel,2,2025-07-07 15:40:00,1768.46,C10356,United Kingdom,3536.92
INV500291,P1003,Running Shoes,Footwear,10,2025-07-07 15:40:00,2198.09,C10356,United Kingdom,21980.9
INV500291,P1016,Face Serum,Beauty,1,2025-07-07 15:40:00,788.96,C10356,United Kingdom,788.96
INV500292,P1009,Yoga Mat,Fitness,3,2025-09-26 12:19:00,951.93,C10725,Australia,2855.79
INV500292,P1018,Hair Care Kit,Beauty,3,2025-09-26 12:19:00,935.93,C10725,Australia,2807.79
INV500292,P1004,Leather Wallet,Accessories,1,2025-09-26 12:19:00,934.65,C10725,Australia,934.65
INV500293,P1021,Premium Tea Pack,Grocery,2,2025-07-15 18:16:00,356.47,C10764,United Kingdom,712.94
INV500293,P1020,USB-C Cable,Electronics,2,2025-07-15 18:16:00,173.81,C10764,United Kingdom,347.62
INV500293,P1018,Hair Care Kit,Beauty,2,2025-07-15 18:16:00,1158.45,C10764,United Kingdom,2316.9
INV500293,P1007,Ceramic Coffee Mug,Home,3,2025-07-15 18:16:00,265.4,C10764,United Kingdom,796.1999999999999
INV500295,P1019,Phone Stand,Electronics,1,2025-02-13 11:08:00,296.73,C10347,Australia,296.73
INV500295,P1015,Luggage Tag Set,Travel,1,2025-02-13 11:08:00,238.73,C10347,Australia,238.73
INV500296,P1004,Leather Wallet,Accessories,2,2025-02-27 15:10:00,912.08,C10733,Spain,1824.16
INV500296,P1010,Protein Shaker,Fitness,2,2025-02-27 15:10:00,332.56,C10733,Spain,665.12
INV500296,P1012,Notebook Pack,Office,12,2025-02-27 15:10:00,218.9,C10733,Spain,2626.8
INV500296,P1003,Running Shoes,Footwear,4,2025-02-27 15:10:00,2150.99,C10733,Spain,8603.96
INV500296,P1020,USB-C Cable,Electronics,4,2025-02-27 15:10:00,188.44,C10733,Spain,753.76
INV500296,P1011,Desk Organizer,Office,1,2025-02-27 15:10:00,520.77,C10733,Spain,520.77
INV500296,P1029,Cotton Bedsheet,Home,2,2025-02-27 15:10:00,1172.79,C10733,Spain,2345.58
INV500298,P1028,Gift Wrapping Paper,Stationery,8,2025-03-13 12:29:00,144.77,C10839,United Kingdom,1158.16
INV500299,P1014,Travel Backpack,Travel,3,2025-07-13 19:01:00,1585.66,C10147,United Kingdom,4756.9800000000005
INV500299,P1012,Notebook Pack,Office,1,2025-07-13 19:01:00,222.72,C10147,United Kingdom,222.72
INV500299,P1002,Denim Jacket,Apparel,8,2025-07-13 19:01:00,1878.62,C10147,United Kingdom,15028.96
INV500299,P1023,Water Bottle,Fitness,1,2025-07-13 19:01:00,629.72,C10147,United Kingdom,629.72
INV500300,P1019,Phone Stand,Electronics,1,2025-10-11 19:53:00,345.44,C10466,United Kingdom,345.44
INV500300,P1017,Sunscreen SPF 50,Beauty,2,2025-10-11 19:53:00,419.24,C10466,United Kingdom,838.48
INV500301,P1013,LED Table Lamp,Home,2,2025-08-28 15:20:00,1263.56,C10710,United Kingdom,2527.12
INV500301,P1027,Desk Plant,Home,1,2025-08-28 15:20:00,306.63,C10710,United Kingdom,306.63
INV500301,P1006,Wireless Mouse,Electronics,1,2025-08-28 15:20:00,807.0,C10710,United Kingdom,807.0
INV500304,P1028,Gift Wrapping Paper,Stationery,1,2025-03-15 20:55:00,127.23,C10016,United Kingdom,127.23
INV500304,P1026,Smart Watch Strap,Electronics,1,2025-03-15 20:55:00,352.92,C10016,United Kingdom,352.92
INV500305,P1012,Notebook Pack,Office,5,2025-03-13 09:36:00,228.88,C10666,India,1144.4
INV500305,P1028,Gift Wrapping Paper,Stationery,3,2025-03-13 09:36:00,149.32,C10666,India,447.96
INV500306,P1022,Dark Chocolate Box,Grocery,4,2025-02-07 11:24:00,471.75,C10409,India,1887.0
INV500306,P1003,Running Shoes,Footwear,2,2025-02-07 11:24:00,2107.18,C10409,India,4214.36
INV500306,P1012,Notebook Pack,Office,2,2025-02-07 11:24:00,202.23,C10409,India,404.46
INV500306,P1015,Luggage Tag Set,Travel,4,2025-02-07 11:24:00,209.77,C10409,India,839.08
INV500306,P1021,Premium Tea Pack,Grocery,1,2025-02-07 11:24:00,436.15,C10409,India,436.15
INV500307,P1014,Travel Backpack,Travel,6,2025-06-02 21:45:00,1417.14,C10084,Netherlands,8502.84
INV500307,P1017,Sunscreen SPF 50,Beauty,1,2025-06-02 21:45:00,578.39,C10084,Netherlands,578.39
INV500308,P1026,Smart Watch Strap,Electronics,1,2025-10-20 14:52:00,430.99,C10710,United Kingdom,430.99
INV500309,P1005,Bluetooth Speaker,Electronics,2,2025-06-12 08:09:00,2570.64,C10846,EIRE,5141.28
INV500309,P1016,Face Serum,Beauty,1,2025-06-12 08:09:00,859.37,C10846,EIRE,859.37
INV500309,P1028,Gift Wrapping Paper,Stationery,4,2025-06-12 08:09:00,123.05,C10846,EIRE,492.2
INV500309,P1011,Desk Organizer,Office,2,2025-06-12 08:09:00,434.51,C10846,EIRE,869.02
INV500310,P1020,USB-C Cable,Electronics,2,2025-08-23 14:23:00,183.6,C10181,Germany,367.2
INV500312,P1007,Ceramic Coffee Mug,Home,1,2025-01-17 18:18:00,295.72,C10826,United Kingdom,295.72
INV500312,P1025,Kitchen Storage Jars,Home,1,2025-01-17 18:18:00,896.36,C10826,United Kingdom,896.36
INV500312,P1015,Luggage Tag Set,Travel,1,2025-01-17 18:18:00,217.93,C10826,United Kingdom,217.93
INV500312,P1018,Hair Care Kit,Beauty,10,2025-01-17 18:18:00,1176.24,C10826,United Kingdom,11762.4
INV500313,P1013,LED Table Lamp,Home,1,2025-10-23 14:08:00,1397.22,C10821,France,1397.22
INV500313,P1024,Laptop Sleeve,Accessories,6,2025-10-23 14:08:00,1008.18,C10821,France,6049.08
INV500313,P1006,Wireless Mouse,Electronics,4,2025-10-23 14:08:00,611.69,C10821,France,2446.76
INV500313,P1030,Sports Socks Pack,Apparel,3,2025-10-23 14:08:00,351.03,C10821,France,1053.09
INV500313,P1011,Desk Organizer,Office,1,2025-10-23 14:08:00,504.03,C10821,France,504.03
INV500314,P1006,Wireless Mouse,Electronics,5,2025-02-24 10:18:00,802.86,C10126,United Kingdom,4014.3
INV500314,P1003,Running Shoes,Footwear,3,2025-02-24 10:18:00,2238.37,C10126,United Kingdom,6715.11
INV500316,P1021,Premium Tea Pack,Grocery,2,2025-04-13 09:22:00,463.11,C10494,United Kingdom,926.22
INV500316,P1010,Protein Shaker,Fitness,10,2025-04-13 09:22:00,299.11,C10494,United Kingdom,2991.1000000000004
INV500316,P1015,Luggage Tag Set,Travel,2,2025-04-13 09:22:00,244.17,C10494,United Kingdom,488.34
INV500316,P1024,Laptop Sleeve,Accessories,1,2025-04-13 09:22:00,851.4,C10494,United Kingdom,851.4
INV500317,P1029,Cotton Bedsheet,Home,1,2025-10-28 14:18:00,1149.31,C10260,Portugal,1149.31
INV500317,P1021,Premium Tea Pack,Grocery,2,2025-10-28 14:18:00,439.15,C10260,Portugal,878.3
INV500317,P1017,Sunscreen SPF 50,Beauty,4,2025-10-28 14:18:00,570.63,C10260,Portugal,2282.52
INV500318,P1003,Running Shoes,Footwear,2,2025-11-08 22:51:00,2780.94,C10285,United Kingdom,5561.88
INV500318,P1019,Phone Stand,Electronics,1,2025-11-08 22:51:00,293.92,C10285,United Kingdom,293.92
INV500318,P1021,Premium Tea Pack,Grocery,2,2025-11-08 22:51:00,402.95,C10285,United Kingdom,805.9
INV500318,P1014,Travel Backpack,Travel,1,2025-11-08 22:51:00,1493.77,C10285,United Kingdom,1493.77
INV500319,P1004,Leather Wallet,Accessories,2,2025-08-21 15:54:00,704.13,C10306,United Kingdom,1408.26
INV500319,P1027,Desk Plant,Home,8,2025-08-21 15:54:00,395.24,C10306,United Kingdom,3161.92
INV500320,P1023,Water Bottle,Fitness,3,2025-11-10 20:51:00,517.04,C10338,France,1551.12
INV500320,P1006,Wireless Mouse,Electronics,3,2025-11-10 20:51:00,741.33,C10338,France,2223.9900000000002
INV500321,P1010,Protein Shaker,Fitness,2,2025-09-05 11:05:00,395.85,C10792,United Kingdom,791.7
INV500321,P1023,Water Bottle,Fitness,1,2025-09-05 11:05:00,494.01,C10792,United Kingdom,494.01
INV500322,P1010,Protein Shaker,Fitness,1,2025-09-28 16:54:00,349.57,C10605,India,349.57
INV500322,P1023,Water Bottle,Fitness,2,2025-09-28 16:54:00,659.38,C10605,India,1318.76
INV500323,P1024,Laptop Sleeve,Accessories,1,2025-02-22 10:29:00,891.31,C10664,United Kingdom,891.31
INV500323,P1004,Leather Wallet,Accessories,1,2025-02-22 10:29:00,769.35,C10664,United Kingdom,769.35
INV500323,P1008,Scented Candle Set,Home,2,2025-02-22 10:29:00,691.3,C10664,United Kingdom,1382.6
INV500323,P1001,Organic Cotton T-Shirt,Apparel,2,2025-02-22 10:29:00,428.79,C10664,United Kingdom,857.58
INV500323,P1029,Cotton Bedsheet,Home,2,2025-02-22 10:29:00,1176.84,C10664,United Kingdom,2353.68
INV500324,P1009,Yoga Mat,Fitness,3,2025-02-21 11:46:00,1084.99,C10403,United Kingdom,3254.9700000000003
INV500324,P1016,Face Serum,Beauty,2,2025-02-21 11:46:00,884.51,C10403,United Kingdom,1769.02
INV500325,P1019,Phone Stand,Electronics,2,2025-08-30 09:02:00,326.45,C10254,United Kingdom,652.9
INV500325,P1022,Dark Chocolate Box,Grocery,2,2025-08-30 09:02:00,558.04,C10254,United Kingdom,1116.08
INV500325,P1010,Protein Shaker,Fitness,2,2025-08-30 09:02:00,351.24,C10254,United Kingdom,702.48
INV500325,P1027,Desk Plant,Home,2,2025-08-30 09:02:00,366.56,C10254,United Kingdom,733.12
INV500326,P1014,Travel Backpack,Travel,6,2025-05-06 17:47:00,1528.64,C10032,Germany,9171.84
INV500326,P1012,Notebook Pack,Office,12,2025-05-06 17:47:00,225.94,C10032,Germany,2711.2799999999997
INV500326,P1007,Ceramic Coffee Mug,Home,8,2025-05-06 17:47:00,274.92,C10032,Germany,2199.36
INV500326,P1024,Laptop Sleeve,Accessories,4,2025-05-06 17:47:00,920.57,C10032,Germany,3682.28
INV500327,P1010,Protein Shaker,Fitness,1,2025-08-27 18:09:00,322.4,C10151,Singapore,322.4
INV500327,P1018,Hair Care Kit,Beauty,1,2025-08-27 18:09:00,1128.11,C10151,Singapore,1128.11
INV500328,P1010,Protein Shaker,Fitness,4,2025-04-11 14:37:00,366.22,C10751,United Kingdom,1464.88
INV500328,P1008,Scented Candle Set,Home,1,2025-04-11 14:37:00,612.78,C10751,United Kingdom,612.78
INV500328,P1002,Denim Jacket,Apparel,1,2025-04-11 14:37:00,1936.11,C10751,United Kingdom,1936.11
INV500328,P1016,Face Serum,Beauty,2,2025-04-11 14:37:00,1020.66,C10751,United Kingdom,2041.32
INV500328,P1030,Sports Socks Pack,Apparel,3,2025-04-11 14:37:00,295.6,C10751,United Kingdom,886.8000000000001
INV500329,P1030,Sports Socks Pack,Apparel,1,2025-08-04 09:48:00,300.31,C10786,EIRE,300.31
INV500330,P1026,Smart Watch Strap,Electronics,2,2025-03-06 14:42:00,447.72,C10403,United Kingdom,895.44
INV500331,P1028,Gift Wrapping Paper,Stationery,2,2025-05-29 17:30:00,160.64,C10842,India,321.28
INV500331,P1002,Denim Jacket,Apparel,6,2025-05-29 17:30:00,1994.48,C10842,India,11966.880000000001
INV500331,P1004,Leather Wallet,Accessories,3,2025-05-29 17:30:00,712.91,C10842,India,2138.73
INV500331,P1024,Laptop Sleeve,Accessories,1,2025-05-29 17:30:00,745.16,C10842,India,745.16
INV500332,P1027,Desk Plant,Home,3,2025-05-01 21:54:00,301.66,C10189,United Kingdom,904.98
INV500332,P1020,USB-C Cable,Electronics,2,2025-05-01 21:54:00,213.3,C10189,United Kingdom,426.6
INV500332,P1022,Dark Chocolate Box,Grocery,2,2025-05-01 21:54:00,504.57,C10189,United Kingdom,1009.14
INV500334,P1005,Bluetooth Speaker,Electronics,3,2025-07-19 16:04:00,2071.78,C10538,India,6215.34
INV500335,P1013,LED Table Lamp,Home,3,2025-02-04 22:53:00,1498.88,C10404,Spain,4496.64
INV500335,P1016,Face Serum,Beauty,2,2025-02-04 22:53:00,937.02,C10404,Spain,1874.04
INV500335,P1020,USB-C Cable,Electronics,1,2025-02-04 22:53:00,230.11,C10404,Spain,230.11
INV500336,P1029,Cotton Bedsheet,Home,10,2025-02-23 22:56:00,1496.52,C10243,United Kingdom,14965.2
INV500337,P1006,Wireless Mouse,Electronics,3,2025-11-07 18:53:00,668.21,C10384,United Kingdom,2004.63
INV500339,P1028,Gift Wrapping Paper,Stationery,3,2025-07-04 20:26:00,171.05,C10006,India,513.1500000000001
INV500339,P1003,Running Shoes,Footwear,2,2025-07-04 20:26:00,2605.59,C10006,India,5211.18
INV500339,P1011,Desk Organizer,Office,1,2025-07-04 20:26:00,380.81,C10006,India,380.81
INV500340,P1030,Sports Socks Pack,Apparel,5,2025-01-12 11:52:00,349.39,C10339,United Kingdom,1746.9499999999998
INV500340,P1027,Desk Plant,Home,2,2025-01-12 11:52:00,293.3,C10339,United Kingdom,586.6
INV500340,P1009,Yoga Mat,Fitness,1,2025-01-12 11:52:00,940.75,C10339,United Kingdom,940.75
INV500340,P1013,LED Table Lamp,Home,3,2025-01-12 11:52:00,1497.36,C10339,United Kingdom,4492.08
INV500340,P1023,Water Bottle,Fitness,6,2025-01-12 11:52:00,642.79,C10339,United Kingdom,3856.74
INV500340,P1012,Notebook Pack,Office,3,2025-01-12 11:52:00,168.95,C10339,United Kingdom,506.84999999999997
INV500341,P1010,Protein Shaker,Fitness,10,2025-04-26 18:22:00,288.87,C10520,United Kingdom,2888.7
INV500341,P1026,Smart Watch Strap,Electronics,3,2025-04-26 18:22:00,433.18,C10520,United Kingdom,1299.54
INV500342,P1029,Cotton Bedsheet,Home,2,2025-10-09 10:07:00,1155.74,C10438,EIRE,2311.48
INV500342,P1020,USB-C Cable,Electronics,4,2025-10-09 10:07:00,226.82,C10438,EIRE,907.28
INV500343,P1006,Wireless Mouse,Electronics,1,2025-01-30 09:03:00,724.77,C10833,United Kingdom,724.77
INV500344,P1007,Ceramic Coffee Mug,Home,1,2025-02-09 09:16:00,284.68,C10673,Singapore,284.68
INV500344,P1016,Face Serum,Beauty,2,2025-02-09 09:16:00,770.96,C10673,Singapore,1541.92
INV500344,P1023,Water Bottle,Fitness,6,2025-02-09 09:16:00,672.62,C10673,Singapore,4035.7200000000003
INV500344,P1024,Laptop Sleeve,Accessories,4,2025-02-09 09:16:00,748.79,C10673,Singapore,2995.16
INV500344,P1012,Notebook Pack,Office,5,2025-02-09 09:16:00,182.54,C10673,Singapore,912.6999999999999
INV500344,P1008,Scented Candle Set,Home,2,2025-02-09 09:16:00,495.24,C10673,Singapore,990.48
INV500345,P1025,Kitchen Storage Jars,Home,1,2025-01-27 18:19:00,830.28,C10546,India,830.28
INV500346,P1014,Travel Backpack,Travel,4,2025-01-15 13:46:00,1775.95,C10776,United Kingdom,7103.8
INV500346,P1028,Gift Wrapping Paper,Stationery,2,2025-01-15 13:46:00,144.91,C10776,United Kingdom,289.82
INV500346,P1026,Smart Watch Strap,Electronics,20,2025-01-15 13:46:00,361.4,C10776,United Kingdom,7228.0
INV500346,P1024,Laptop Sleeve,Accessories,4,2025-01-15 13:46:00,832.92,C10776,United Kingdom,3331.68
INV500347,P1011,Desk Organizer,Office,2,2025-11-08 08:07:00,434.23,C10669,United Kingdom,868.46
INV500348,P1009,Yoga Mat,Fitness,1,2025-04-03 12:49:00,1132.51,C10452,Germany,1132.51
INV500348,P1028,Gift Wrapping Paper,Stationery,2,2025-04-03 12:49:00,139.2,C10452,Germany,278.4
INV500348,P1016,Face Serum,Beauty,1,2025-04-03 12:49:00,1010.63,C10452,Germany,1010.63
INV500348,P1005,Bluetooth Speaker,Electronics,2,2025-04-03 12:49:00,1892.78,C10452,Germany,3785.56
INV500349,P1001,Organic Cotton T-Shirt,Apparel,2,2025-11-25 14:56:00,584.35,C10074,United Kingdom,1168.7
INV500349,P1011,Desk Organizer,Office,2,2025-11-25 14:56:00,415.2,C10074,United Kingdom,830.4
INV500351,P1003,Running Shoes,Footwear,1,2025-08-16 19:56:00,2375.12,C10247,United Kingdom,2375.12
INV500351,P1012,Notebook Pack,Office,12,2025-08-16 19:56:00,229.5,C10247,United Kingdom,2754.0
INV500352,P1014,Travel Backpack,Travel,12,2025-05-27 13:20:00,1642.76,C10815,United Kingdom,19713.12
INV500353,P1016,Face Serum,Beauty,2,2025-08-03 12:48:00,873.87,C10124,United Kingdom,1747.74
INV500353,P1024,Laptop Sleeve,Accessories,4,2025-08-03 12:48:00,846.13,C10124,United Kingdom,3384.52
INV500354,P1014,Travel Backpack,Travel,3,2025-07-29 18:28:00,1727.77,C10460,United Kingdom,5183.3099999999995
INV500354,P1010,Protein Shaker,Fitness,3,2025-07-29 18:28:00,370.85,C10460,United Kingdom,1112.5500000000002
INV500354,P1025,Kitchen Storage Jars,Home,4,2025-07-29 18:28:00,721.99,C10460,United Kingdom,2887.96
INV500354,P1016,Face Serum,Beauty,6,2025-07-29 18:28:00,829.5,C10460,United Kingdom,4977.0
INV500355,P1029,Cotton Bedsheet,Home,2,2025-04-18 14:33:00,1142.62,C10749,United Kingdom,2285.24
INV500355,P1020,USB-C Cable,Electronics,1,2025-04-18 14:33:00,206.61,C10749,United Kingdom,206.61
INV500356,P1029,Cotton Bedsheet,Home,4,2025-03-28 08:38:00,1237.99,C10521,Singapore,4951.96
INV500356,P1018,Hair Care Kit,Beauty,2,2025-03-28 08:38:00,1149.33,C10521,Singapore,2298.66
INV500356,P1026,Smart Watch Strap,Electronics,1,2025-03-28 08:38:00,346.83,C10521,Singapore,346.83
INV500356,P1007,Ceramic Coffee Mug,Home,1,2025-03-28 08:38:00,253.18,C10521,Singapore,253.18
INV500356,P1001,Organic Cotton T-Shirt,Apparel,1,2025-03-28 08:38:00,532.76,C10521,Singapore,532.76
INV500357,P1002,Denim Jacket,Apparel,5,2025-10-13 18:53:00,1707.72,C10195,United Kingdom,8538.6
INV500357,P1021,Premium Tea Pack,Grocery,1,2025-10-13 18:53:00,418.36,C10195,United Kingdom,418.36
INV500357,P1001,Organic Cotton T-Shirt,Apparel,2,2025-10-13 18:53:00,518.98,C10195,United Kingdom,1037.96
INV500357,P1008,Scented Candle Set,Home,1,2025-10-13 18:53:00,566.37,C10195,United Kingdom,566.37
INV500357,P1005,Bluetooth Speaker,Electronics,3,2025-10-13 18:53:00,2191.26,C10195,United Kingdom,6573.780000000001
INV500358,P1022,Dark Chocolate Box,Grocery,2,2025-05-28 14:28:00,513.21,C10774,United Kingdom,1026.42
INV500358,P1014,Travel Backpack,Travel,4,2025-05-28 14:28:00,1592.77,C10774,United Kingdom,6371.08
INV500359,P1009,Yoga Mat,Fitness,2,2025-07-29 08:35:00,962.56,C10802,United Kingdom,1925.12
INV500359,P1022,Dark Chocolate Box,Grocery,1,2025-07-29 08:35:00,531.18,C10802,United Kingdom,531.18
INV500359,P1011,Desk Organizer,Office,3,2025-07-29 08:35:00,421.47,C10802,United Kingdom,1264.41
INV500359,P1014,Travel Backpack,Travel,3,2025-07-29 08:35:00,1836.3,C10802,United Kingdom,5508.9
INV500360,P1023,Water Bottle,Fitness,1,2025-03-22 21:34:00,571.8,C10204,United Kingdom,571.8
INV500360,P1008,Scented Candle Set,Home,4,2025-03-22 21:34:00,604.73,C10204,United Kingdom,2418.92
INV500361,P1027,Desk Plant,Home,4,2025-05-07 08:17:00,396.32,C10647,Netherlands,1585.28
INV500361,P1026,Smart Watch Strap,Electronics,1,2025-05-07 08:17:00,433.85,C10647,Netherlands,433.85
INV500361,P1013,LED Table Lamp,Home,5,2025-05-07 08:17:00,1467.02,C10647,Netherlands,7335.1
INV500361,P1021,Premium Tea Pack,Grocery,1,2025-05-07 08:17:00,466.4,C10647,Netherlands,466.4
INV500362,P1017,Sunscreen SPF 50,Beauty,3,2025-09-05 12:58:00,580.1,C10286,Spain,1740.3000000000002
INV500362,P1008,Scented Candle Set,Home,4,2025-09-05 12:58:00,587.59,C10286,Spain,2350.36
INV500362,P1013,LED Table Lamp,Home,1,2025-09-05 12:58:00,1327.47,C10286,Spain,1327.47
INV500362,P1001,Organic Cotton T-Shirt,Apparel,5,2025-09-05 12:58:00,503.2,C10286,Spain,2516.0
INV500363,P1023,Water Bottle,Fitness,2,2025-06-22 21:09:00,492.38,C10759,United Kingdom,984.76
INV500364,P1017,Sunscreen SPF 50,Beauty,1,2025-05-01 13:29:00,428.05,C10668,United Kingdom,428.05
INV500364,P1018,Hair Care Kit,Beauty,1,2025-05-01 13:29:00,976.56,C10668,United Kingdom,976.56
INV500364,P1028,Gift Wrapping Paper,Stationery,2,2025-05-01 13:29:00,162.36,C10668,United Kingdom,324.72
INV500364,P1024,Laptop Sleeve,Accessories,6,2025-05-01 13:29:00,956.18,C10668,United Kingdom,5737.08
INV500365,P1012,Notebook Pack,Office,2,2025-04-15 20:39:00,216.68,C10536,Germany,433.36
INV500365,P1020,USB-C Cable,Electronics,1,2025-04-15 20:39:00,196.03,C10536,Germany,196.03
INV500365,P1016,Face Serum,Beauty,3,2025-04-15 20:39:00,856.04,C10536,Germany,2568.12
INV500365,P1015,Luggage Tag Set,Travel,3,2025-04-15 20:39:00,213.41,C10536,Germany,640.23
INV500366,P1009,Yoga Mat,Fitness,4,2025-07-16 13:36:00,972.17,C10661,United Kingdom,3888.68
INV500366,P1026,Smart Watch Strap,Electronics,4,2025-07-16 13:36:00,428.62,C10661,United Kingdom,1714.48
INV500367,P1005,Bluetooth Speaker,Electronics,2,2025-03-27 18:53:00,2353.45,C10220,United Kingdom,4706.9
INV500367,P1027,Desk Plant,Home,5,2025-03-27 18:53:00,393.65,C10220,United Kingdom,1968.25
INV500369,P1019,Phone Stand,Electronics,2,2025-06-12 22:45:00,246.71,C10689,United Kingdom,493.42
INV500370,P1006,Wireless Mouse,Electronics,3,2025-09-14 10:46:00,746.49,C10780,United Kingdom,2239.4700000000003
INV500370,P1015,Luggage Tag Set,Travel,2,2025-09-14 10:46:00,214.73,C10780,United Kingdom,429.46
INV500372,P1025,Kitchen Storage Jars,Home,1,2025-11-25 22:55:00,764.28,C10316,Netherlands,764.28
INV500373,P1015,Luggage Tag Set,Travel,2,2025-04-13 10:18:00,236.77,C10280,India,473.54
